Query_ID,Query,Reference_ID,Reference,Ref_Genus,Ref_Species,Distance,Assignment,Ref_Family,Class
Query_6,ICTVTaxoChallenge_617900,109392353,109392353,Coopervirus,Coopervirus cooper,0.7198,Different Families,Unclassified,Caudoviricetes
Query_53,ICTVTaxoChallenge_630593,1842035105,1842035105,Petsuvirus,Petsuvirus pEtSU,0.716,Different Families,Unclassified,Caudoviricetes
Query_78,ICTVTaxoChallenge_637849,9634055,9634055,Eganvirus,Eganvirus ev186,0.6898,Different Families,Peduoviridae,Caudoviricetes
Query_32,ICTVTaxoChallenge_419603,1631933904,1631933904,Polybotosvirus,Polybotosvirus Atuph07,0.6164,Different Families,Unclassified,Caudoviricetes
Query_69,ICTVTaxoChallenge_427556,2067807438,2067807438,Bertelyvirus,Bertelyvirus SC,0.63,Different Families,Unclassified,Caudoviricetes
Query_72,ICTVTaxoChallenge_428236,1859650237,1859650237,Susfortunavirus,Susfortunavirus susfortuna,0.7385,Different Families,Guelinviridae,Caudoviricetes
Query_87,ICTVTaxoChallenge_431223,1842022583,1842022583,Bertelyvirus,Bertelyvirus BL9,0.6187,Different Families,Unclassified,Caudoviricetes
Query_3,ICTVTaxoChallenge_769597,2067807438,2067807438,Bertelyvirus,Bertelyvirus SC,0.6463,Different Families,Unclassified,Caudoviricetes
Query_43,ICTVTaxoChallenge_779112,1631933904,1631933904,Polybotosvirus,Polybotosvirus Atuph07,0.6485,Different Families,Unclassified,Caudoviricetes
Query_30,ICTVTaxoChallenge_963624,1070637863,1070637863,Nymphadoravirus,Nymphadoravirus kita,0.6275,Different Families,Unclassified,Caudoviricetes
Query_51,ICTVTaxoChallenge_9672,9634626,9634626,Moineauvirus,Moineauvirus mv7201,0.6093,Different Families,Unclassified,Caudoviricetes
Query_62,ICTVTaxoChallenge_968989,1631933904,1631933904,Polybotosvirus,Polybotosvirus Atuph07,0.6555,Different Families,Unclassified,Caudoviricetes
Query_65,ICTVTaxoChallenge_970221,1070101868,1070101868,Nymphadoravirus,Nymphadoravirus nymphadora,0.6439,Different Families,Unclassified,Caudoviricetes
Query_7,ICTVTaxoChallenge_899757,9634626,9634626,Moineauvirus,Moineauvirus mv7201,0.6559,Different Families,,Caudoviricetes
Query_21,ICTVTaxoChallenge_902689,2067807438,2067807438,Bertelyvirus,Bertelyvirus SC,0.6018,Different Families,Unclassified,Caudoviricetes
Query_31,ICTVTaxoChallenge_904993,9634626,9634626,Moineauvirus,Moineauvirus mv7201,0.6399,Different Families,,Caudoviricetes
Query_57,ICTVTaxoChallenge_910109,1842022583,1842022583,Bertelyvirus,Bertelyvirus BL9,0.6137,Different Families,Unclassified,Caudoviricetes
Query_60,ICTVTaxoChallenge_910975,2067807438,2067807438,Bertelyvirus,Bertelyvirus SC,0.6007,Different Families,Unclassified,Caudoviricetes
Query_88,ICTVTaxoChallenge_918775,1631944469,1631944469,Aphroditevirus,Aphroditevirus aphrodite1,0.569,Different Families,Unclassified,Caudoviricetes
Query_63,ICTVTaxoChallenge_231101,2067807438,2067807438,Bertelyvirus,Bertelyvirus SC,0.6393,Different Families,Unclassified,Caudoviricetes
Query_71,ICTVTaxoChallenge_232301,1842028198,1842028198,Bridgettevirus,Bridgettevirus bridgette,0.6622,Different Families,Unclassified,Caudoviricetes
Query_37,ICTVTaxoChallenge_736027,712914205,712914205,Asteriusvirus,Asteriusvirus av121Q,0.7094,Different Families,Unclassified,Caudoviricetes
Query_61,ICTVTaxoChallenge_741875,1070638361,1070638361,Thornevirus,Thornevirus SP15,0.7388,Different Families,,Caudoviricetes
Query_92,ICTVTaxoChallenge_74769,1842000291,1842000291,Picardvirus,Picardvirus picard,0.5784,Different Families,Unclassified,Caudoviricetes
Query_26,ICTVTaxoChallenge_439341,281416385,281416385,Moineauvirus,Moineauvirus Abc2,0.6405,Different Families,,Caudoviricetes
Query_41,ICTVTaxoChallenge_442975,281416385,281416385,Moineauvirus,Moineauvirus Abc2,0.6722,Different Families,,Caudoviricetes
Query_55,ICTVTaxoChallenge_445979,530787714,530787714,Baikalvirus,Baikalvirus PaBG,0.7028,Different Families,Unclassified,Caudoviricetes
Query_8,ICTVTaxoChallenge_74977,2067807438,2067807438,Bertelyvirus,Bertelyvirus SC,0.6627,Different Families,Unclassified,Caudoviricetes
Query_18,ICTVTaxoChallenge_752651,1842035105,1842035105,Petsuvirus,Petsuvirus pEtSU,0.5836,Different Families,Unclassified,Caudoviricetes
Query_27,ICTVTaxoChallenge_754208,1631944469,1631944469,Aphroditevirus,Aphroditevirus aphrodite1,0.5758,Different Families,Unclassified,Caudoviricetes
Query_37,ICTVTaxoChallenge_756088,9634055,9634055,Eganvirus,Eganvirus ev186,0.677,Different Families,Peduoviridae,Caudoviricetes
Query_43,ICTVTaxoChallenge_757367,2067807438,2067807438,Bertelyvirus,Bertelyvirus SC,0.605,Different Families,Unclassified,Caudoviricetes
Query_40,ICTVTaxoChallenge_669739,2067807438,2067807438,Bertelyvirus,Bertelyvirus SC,0.5954,Different Families,Unclassified,Caudoviricetes
Query_48,ICTVTaxoChallenge_67127,2067807438,2067807438,Bertelyvirus,Bertelyvirus SC,0.6553,Different Families,Unclassified,Caudoviricetes
Query_49,ICTVTaxoChallenge_671597,237651460,237651460,Aorunvirus,Aorunvirus EE36phi1,0.5709,Different Families,Schitoviridae,Caudoviricetes
Query_62,ICTVTaxoChallenge_674897,1631927333,1631927333,Agricanvirus,Agricanvirus deimos,0.6224,Different Families,Unclassified,Caudoviricetes
Query_75,ICTVTaxoChallenge_677124,1068512658,1068512658,Emalynvirus,Emalynvirus cozz,0.6639,Different Families,Unclassified,Caudoviricetes
Query_94,ICTVTaxoChallenge_6819,281416385,281416385,Moineauvirus,Moineauvirus Abc2,0.5763,Different Families,Unclassified,Caudoviricetes
Query_95,ICTVTaxoChallenge_682389,1631933904,1631933904,Polybotosvirus,Polybotosvirus Atuph07,0.6199,Different Families,Unclassified,Caudoviricetes
Query_1,ICTVTaxoChallenge_278769,1842022091,1842022091,Colossusvirus,Colossusvirus PW,0.7146,Different Families,Unclassified,Caudoviricetes
Query_18,ICTVTaxoChallenge_282856,609252170,609252170,Coopervirus,Coopervirus stinger,0.6593,Different Families,Unclassified,Caudoviricetes
Query_82,ICTVTaxoChallenge_302876,1631934992,1631934992,Risingsunvirus,Risingsunvirus risingsun,0.6346,Different Families,Unclassified,Caudoviricetes
Query_14,ICTVTaxoChallenge_39472,712915603,712915603,Pahsextavirus,Pahsextavirus pAh6C,0.6217,Different Families,Chaseviridae,Caudoviricetes
Query_46,ICTVTaxoChallenge_402088,2033717357,2033717357,Myrnavirus,Myranavirus phabba,0.6913,Different Families,Unclassified,Caudoviricetes
Query_55,ICTVTaxoChallenge_404091,593777468,593777468,Donellivirus,Donellivirus gee,0.5974,Different Families,Unclassified,Caudoviricetes
Query_74,ICTVTaxoChallenge_408457,338826857,338826857,Emalynvirus,Emalynvirus GTE2,0.6708,Different Families,Unclassified,Caudoviricetes
Query_95,ICTVTaxoChallenge_413041,414087713,414087713,Shapirovirus,Shapirovirus cbk,0.6495,Different Families,Unclassified,Caudoviricetes
Query_34,ICTVTaxoChallenge_691233,593777468,593777468,Donellivirus,Donellivirus gee,0.6541,Different Families,Unclassified,Caudoviricetes
Query_63,ICTVTaxoChallenge_697809,1631933904,1631933904,Polybotosvirus,Polybotosvirus Atuph07,0.6374,Different Families,Unclassified,Caudoviricetes
Query_24,ICTVTaxoChallenge_819401,281416385,281416385,Moineauvirus,Moineauvirus Abc2,0.6126,Different Families,Unclassified,Caudoviricetes
Query_69,ICTVTaxoChallenge_828376,530787714,530787714,Baikalvirus,Baikalvirus PaBG,0.7089,Different Families,Unclassified,Caudoviricetes
Query_71,ICTVTaxoChallenge_828862,1864371970,1864371970,Peduovirus,Peduovirus P24E6b,0.7092,Different Families,Peduoviridae,Caudoviricetes
Query_17,ICTVTaxoChallenge_795576,338826857,338826857,Emalynvirus,Emalynvirus GTE2,0.6912,Different Families,Unclassified,Caudoviricetes
Query_20,ICTVTaxoChallenge_795947,1631933904,1631933904,Polybotosvirus,Polybotosvirus Atuph07,0.6525,Different Families,Unclassified,Caudoviricetes
Query_47,ICTVTaxoChallenge_801191,1631944469,1631944469,Aphroditevirus,Aphroditevirus aphrodite1,0.7028,Different Families,Unclassified,Caudoviricetes
Query_95,ICTVTaxoChallenge_813656,1631933904,1631933904,Polybotosvirus,Polybotosvirus Atuph07,0.7221,Different Families,Unclassified,Caudoviricetes
Query_43,ICTVTaxoChallenge_560047,414088861,414088861,Poindextervirus,Poindextervirus rogue,0.5673,Different Families,Unclassified,Caudoviricetes
Query_61,ICTVTaxoChallenge_563778,530787714,530787714,Baikalvirus,Baikalvirus PaBG,0.6867,Different Families,Unclassified,Caudoviricetes
Query_62,ICTVTaxoChallenge_563984,1842009556,1842009556,Abbeymikolonvirus,Abbeymikolonvirus abbeymikolon,0.7237,Different Families,Unclassified,Caudoviricetes
Query_66,ICTVTaxoChallenge_565275,2067807438,2067807438,Bertelyvirus,Bertelyvirus SC,0.6235,Different Families,Unclassified,Caudoviricetes
Query_67,ICTVTaxoChallenge_565585,414088861,414088861,Poindextervirus,Poindextervirus rogue,0.6408,Different Families,Unclassified,Caudoviricetes
Query_1,ICTVTaxoChallenge_176158,1631933904,1631933904,Polybotosvirus,Polybotosvirus Atuph07,0.6363,Different Families,Unclassified,Caudoviricetes
Query_17,ICTVTaxoChallenge_179287,593777468,593777468,Donellivirus,Donellivirus gee,0.6372,Different Families,Unclassified,Caudoviricetes
Query_51,ICTVTaxoChallenge_187497,2067807438,2067807438,Bertelyvirus,Bertelyvirus SC,0.6295,Different Families,Unclassified,Caudoviricetes
Query_52,ICTVTaxoChallenge_187529,414089586,414089586,Shapirovirus,Shapirovirus swift,0.7023,Different Families,Unclassified,Caudoviricetes
Query_80,ICTVTaxoChallenge_192962,414088861,414088861,Poindextervirus,Poindextervirus rogue,0.5879,Different Families,Unclassified,Caudoviricetes
Query_19,ICTVTaxoChallenge_462112,1631931135,1631931135,Noxifervirus,Noxifervirus noxifer,0.6928,Different Families,Unclassified,Caudoviricetes
Query_43,ICTVTaxoChallenge_466475,428782997,428782997,Kayvirus,Kayvirus JD7,0.7251,Different Families,Herelleviridae,Caudoviricetes
Query_49,ICTVTaxoChallenge_4685,593777468,593777468,Donellivirus,Donellivirus gee,0.6023,Different Families,Unclassified,Caudoviricetes
Query_54,ICTVTaxoChallenge_469487,1631933904,1631933904,Polybotosvirus,Polybotosvirus Atuph07,0.5876,Different Families,Unclassified,Caudoviricetes
Query_57,ICTVTaxoChallenge_470261,593777468,593777468,Donellivirus,Donellivirus gee,0.6458,Different Families,Unclassified,Caudoviricetes
Query_94,ICTVTaxoChallenge_479684,1842022583,1842022583,Bertelyvirus,Bertelyvirus BL9,0.7118,Different Families,Unclassified,Caudoviricetes
Query_5,ICTVTaxoChallenge_856757,593777468,593777468,Donellivirus,Donellivirus gee,0.6088,Different Families,Unclassified,Caudoviricetes
Query_36,ICTVTaxoChallenge_864306,2033717840,2033717840,Bixzunavirus,Bixzunavirus cane17,0.622,Different Families,Unclassified,Caudoviricetes
Query_46,ICTVTaxoChallenge_866507,1631933904,1631933904,Polybotosvirus,Polybotosvirus Atuph07,0.5631,Different Families,Unclassified,Caudoviricetes
Query_70,ICTVTaxoChallenge_871228,593777468,593777468,Donellivirus,Donellivirus gee,0.632,Different Families,Unclassified,Caudoviricetes
Query_25,ICTVTaxoChallenge_945980,593777468,593777468,Donellivirus,Donellivirus gee,0.6379,Different Families,Unclassified,Caudoviricetes
Query_34,ICTVTaxoChallenge_94732,2067807438,2067807438,Bertelyvirus,Bertelyvirus SC,0.6785,Different Families,Unclassified,Caudoviricetes
Query_35,ICTVTaxoChallenge_947464,971757349,971757349,Coopervirus,Coopervirus vincenzo,0.7247,Different Families,Unclassified,Caudoviricetes
Query_37,ICTVTaxoChallenge_948783,2033832421,2033832421,Skogvirus,Skogvirus Skog,0.6519,Different Families,Unclassified,Caudoviricetes
Query_43,ICTVTaxoChallenge_950133,414088861,414088861,Poindextervirus,Poindextervirus rogue,0.6146,Different Families,Unclassified,Caudoviricetes
Query_50,ICTVTaxoChallenge_951262,1631933904,1631933904,Polybotosvirus,Polybotosvirus Atuph07,0.5858,Different Families,Unclassified,Caudoviricetes
Query_72,ICTVTaxoChallenge_954625,1842015996,1842015996,Trinevirus,Trinevirus trine,0.6772,Different Families,Unclassified,Caudoviricetes
Query_10,ICTVTaxoChallenge_708618,2067807438,2067807438,Bertelyvirus,Bertelyvirus SC,0.653,Different Families,Unclassified,Caudoviricetes
Query_40,ICTVTaxoChallenge_71371,1070101868,1070101868,Nymphadoravirus,Nymphadoravirus nymphadora,0.6034,Different Families,Unclassified,Caudoviricetes
Query_48,ICTVTaxoChallenge_715038,338826857,338826857,Emalynvirus,Emalynvirus GTE2,0.6706,Different Families,Unclassified,Caudoviricetes
Query_55,ICTVTaxoChallenge_71636,1938305168,1938305168,Imvubuvirus,Imvubuvirus imvubu,0.6423,Different Families,Unclassified,Caudoviricetes
Query_60,ICTVTaxoChallenge_718510,1707116822,1707116822,Rosebushvirus,Rosebushvirus TA17a,0.7032,Different Families,Unclassified,Caudoviricetes
Query_77,ICTVTaxoChallenge_723299,593777468,593777468,Donellivirus,Donellivirus gee,0.6447,Different Families,Unclassified,Caudoviricetes
Query_9,ICTVTaxoChallenge_506970,1842021755,1842021755,Poindextervirus,Poindextervirus BL10,0.6552,Different Families,Unclassified,Caudoviricetes
Query_15,ICTVTaxoChallenge_508209,1842022583,1842022583,Bertelyvirus,Bertelyvirus BL9,0.6988,Different Families,Unclassified,Caudoviricetes
Query_19,ICTVTaxoChallenge_508814,1631934992,1631934992,Risingsunvirus,Risingsunvirus risingsun,0.6986,Different Families,Unclassified,Caudoviricetes
Query_23,ICTVTaxoChallenge_51079,1070101868,1070101868,Nymphadoravirus,Nymphadoravirus nymphadora,0.6008,Different Families,Unclassified,Caudoviricetes
Query_76,ICTVTaxoChallenge_522924,1631942767,1631942767,Gustavvirus,Gustavvirus gustav,0.7188,Different Families,Unclassified,Caudoviricetes
Query_5,ICTVTaxoChallenge_479959,2067807438,2067807438,Bertelyvirus,Bertelyvirus SC,0.6267,Different Families,Unclassified,Caudoviricetes
Query_47,ICTVTaxoChallenge_492371,414088056,414088056,Colossusvirus,Colossusvirus colossus,0.6854,Different Families,Unclassified,Caudoviricetes
Query_75,ICTVTaxoChallenge_500943,1859669280,1859669280,Privateervirus,Privateervirus privateer,0.6335,Different Families,Unclassified,Caudoviricetes
Query_84,ICTVTaxoChallenge_503688,29134936,29134936,Phikzvirus,Phikzvirus phiKZ,0.6902,Different Families,Unclassified,Caudoviricetes
Query_37,ICTVTaxoChallenge_58139,1631933904,1631933904,Polybotosvirus,Polybotosvirus Atuph07,0.7034,Different Families,Unclassified,Caudoviricetes
Query_49,ICTVTaxoChallenge_583642,9634626,9634626,Moineauvirus,Moineauvirus mv7201,0.5896,Different Families,Unclassified,Caudoviricetes
Query_60,ICTVTaxoChallenge_586851,1859659502,1859659502,Aphroditevirus,Aphroditevirus USC1,0.6381,Different Families,Unclassified,Caudoviricetes
Query_81,ICTVTaxoChallenge_591766,414087713,414087713,Shapirovirus,Shapirovirus cbk,0.6176,Different Families,Unclassified,Caudoviricetes
