Isolate ID,Species Sort,Isolate Sort,Realm,Subrealm,Kingdom,Subkingdom,Phylum,Subphylum,Class,Subclass,Order,Suborder,Family,Subfamily,Genus,Subgenus,Species,Exemplar or additional isolate,Virus name(s),Virus name abbreviation(s),Virus isolate designation,Virus GENBANK accession,Genome coverage,Genome,Host source,Accessions Link
1000002,1,1,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Lipothrixviridae,,Alphalipothrixvirus,,Alphalipothrixvirus beppuense,E,Sulfolobus filamentous virus 1,SFV1,SFV1 isolate S48,MH447526,Complete genome,dsDNA,archaea,NCBI Nucleotide
1000001,2,1,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Lipothrixviridae,,Alphalipothrixvirus,,Alphalipothrixvirus umijigokuense,E,Sulfolobales Beppu filamentous virus 2,SBFV2,SBFV2 clone B,MK064563,Coding-complete genome,dsDNA,archaea,NCBI Nucleotide
1000003,3,1,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Lipothrixviridae,,Betalipothrixvirus,,Betalipothrixvirus acidiani,E,Acidianus filamentous virus 3,AFV3,,AM087120,Complete genome,dsDNA,archaea,NCBI Nucleotide
1000008,4,1,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Lipothrixviridae,,Betalipothrixvirus,,Betalipothrixvirus hveragerdiense,E,Sulfolobus islandicus filamentous virus,SIFV,,AF440571,Complete genome,dsDNA,archaea,NCBI Nucleotide
1000005,5,1,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Lipothrixviridae,,Betalipothrixvirus,,Betalipothrixvirus pezzuloense,E,Acidianus filamentous virus 7,AFV7,,AM087122,Complete genome,dsDNA,archaea,NCBI Nucleotide
1000004,6,1,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Lipothrixviridae,,Betalipothrixvirus,,Betalipothrixvirus pozzuoliense,E,Acidianus filamentous virus 6,AFV6,,AM087121,Complete genome,dsDNA,archaea,NCBI Nucleotide
1000006,7,1,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Lipothrixviridae,,Betalipothrixvirus,,Betalipothrixvirus puteoliense,E,Acidianus filamentous virus 8,AFV8,,AM087123,Complete genome,dsDNA,archaea,NCBI Nucleotide
1000007,8,1,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Lipothrixviridae,,Betalipothrixvirus,,Betalipothrixvirus uzonense,E,Acidianus filamentous virus 9,AFV9,,EU545650,Complete genome,dsDNA,archaea,NCBI Nucleotide
1000010,9,1,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Lipothrixviridae,,Deltalipothrixvirus,,Deltalipothrixvirus beppuense,E,Sulfolobales Beppu filamentous virus 3,SBFV3,SBFV3 clone C,MK064564,Coding-complete genome,dsDNA,archaea,NCBI Nucleotide
1000009,10,1,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Lipothrixviridae,,Deltalipothrixvirus,,Deltalipothrixvirus pozzuoliense,E,Acidianus filamentous virus 2,AFV2,,AJ854042,Complete genome,dsDNA,archaea,NCBI Nucleotide
1000011,11,1,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Azorudivirus,,Azorudivirus furnasense,E,Stygiolobus rod-shaped virus,SRV,,FM164764,Coding-complete genome,dsDNA,archaea,NCBI Nucleotide
1000013,12,1,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Hoswirudivirus,,Hoswirudivirus acidiani,E,Acidianus rod-shaped virus 3,ARV3,,MN876842,Coding-complete genome,dsDNA,archaea,NCBI Nucleotide
1000014,13,1,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Hoswirudivirus,,Hoswirudivirus metallosphaerae,E,Metallosphaera rod-shaped virus 1,MRV1,,MN876843,Coding-complete genome,dsDNA,archaea,NCBI Nucleotide
1000012,14,1,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Hoswirudivirus,,Hoswirudivirus pozzuoliense,E,Acidianus rod-shaped virus 2,ARV2,,KP282675,Coding-complete genome,dsDNA,archaea,NCBI Nucleotide
1000015,15,1,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Hoswirudivirus,,Hoswirudivirus saccharolobi,E,Saccharolobus solfataricus rod-shaped virus 1,SSRV1,,MN876841,Coding-complete genome,dsDNA,archaea,NCBI Nucleotide
1000018,16,1,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Icerudivirus,,Icerudivirus gunnuhverense,E,Sulfolobus islandicus rod-shaped virus 3,SIRV3,,KX712143,Coding-complete genome,dsDNA,archaea,NCBI Nucleotide
1000017,17,1,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Icerudivirus,,Icerudivirus hveragerdiense,E,Sulfolobus islandicus rod-shaped virus 2,SIRV2,,AJ344259,Complete genome,dsDNA,archaea,NCBI Nucleotide
1000016,18,1,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Icerudivirus,,Icerudivirus kverkfjoellense,E,Sulfolobus islandicus rod-shaped virus 1,SIRV1,,AJ414696,Complete genome,dsDNA,archaea,NCBI Nucleotide
1000019,19,1,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Itarudivirus,,Itarudivirus pozzuoliense,E,Acidianus rod-shaped virus 1,ARV1,,AJ875026,Coding-complete genome,dsDNA,archaea,NCBI Nucleotide
1000020,20,1,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Japarudivirus,,Japarudivirus beppuense,E,Sulfolobales Beppu rod-shaped virus 1,SBRV1,,MK064565,Coding-complete genome,dsDNA,archaea,NCBI Nucleotide
1000021,21,1,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Mexirudivirus,,Mexirudivirus azufresense,E,Sulfolobales Mexican rod-shaped virus 1,SMRV1,,JX944686,Coding-complete genome,dsDNA,archaea,NCBI Nucleotide
1000022,22,1,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Usarudivirus,,Usarudivirus acidum,E,Sulfolobus islandicus rod-shaped virus 10,SIRV10,,KY744230,Coding-complete genome,dsDNA,archaea,NCBI Nucleotide
1000027,23,1,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Usarudivirus,,Usarudivirus aestus,E,Sulfolobus islandicus rod-shaped virus 9,SIRV9,,KY744228,Coding-complete genome,dsDNA,archaea,NCBI Nucleotide
1000026,24,1,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Usarudivirus,,Usarudivirus caloris,E,Sulfolobus islandicus rod-shaped virus 8,SIRV8,,KY744229,Coding-complete genome,dsDNA,archaea,NCBI Nucleotide
1000023,25,1,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Usarudivirus,,Usarudivirus dryadis,E,Sulfolobus islandicus rod-shaped virus 11,SIRV11,,KY744234,Coding-complete genome,dsDNA,archaea,NCBI Nucleotide
1000025,26,1,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Usarudivirus,,Usarudivirus nymphense,E,Sulfolobus islandicus rod-shaped virus 5,SIRV5,,KY744233,Coding-complete genome,dsDNA,archaea,NCBI Nucleotide
1000024,27,1,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Usarudivirus,,Usarudivirus yellowstonense,E,Sulfolobus islandicus rod-shaped virus 4,SIRV4,,KY744231,Coding-complete genome,dsDNA,archaea,NCBI Nucleotide
1000028,28,1,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Ungulaviridae,,Captovirus,,Captovirus yellowstonense,E,Acidianus filamentous virus 1,AFV1,,AJ567472,Complete genome,dsDNA,archaea,NCBI Nucleotide
1000029,29,1,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Maximonvirales,,Ahmunviridae,,Yumkaaxvirus,,Yumkaaxvirus pescaderoense,E,Methanophagales virus PBV300,PBV300,,OP413840,Complete genome,dsDNA,archaea,NCBI Nucleotide
1000030,30,1,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Primavirales,,Tristromaviridae,,Alphatristromavirus,,Alphatristromavirus pozzuoliense,E,Pyrobaculum filamentous virus 1,PFV1,,KU307456,Complete genome,dsDNA,archaea,NCBI Nucleotide
1000031,31,1,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Primavirales,,Tristromaviridae,,Alphatristromavirus,,Alphatristromavirus puteoliense,E,Pyrobaculum filamentous virus 2,PFV2,,MN876844,Complete genome,dsDNA,archaea,NCBI Nucleotide
1000032,32,1,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Primavirales,,Tristromaviridae,,Betatristromavirus,,Betatristromavirus kraflaense,E,Thermoproteus tenax virus 1,TTV1,KRA1,X14855,Partial genome,dsDNA,archaea,NCBI Nucleotide
1000033,33,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Alloherpesviridae,,Batravirus,,Batravirus ranidallo1,E,Lucké tumor herpesvirus; ranid herpesvirus 1,LTHV; RaHV1,McKinnell,DQ665917,Complete genome,dsDNA,vertebrates,NCBI Nucleotide
1000034,34,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Alloherpesviridae,,Batravirus,,Batravirus ranidallo2,E,frog virus 4; ranid herpesvirus 2,FV4; RaHV2,Rafferty,DQ665652,Complete genome,dsDNA,vertebrates,NCBI Nucleotide
1000035,35,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Alloherpesviridae,,Batravirus,,Batravirus ranidallo3,E,ranid herpesvirus 3,RaHV3,FO1_2015,KX832224,Complete genome,dsDNA,vertebrates,NCBI Nucleotide
1000036,36,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Alloherpesviridae,,Cyvirus,,Cyvirus anguillidallo1,E,Japanese eel herpesvirus; anguillid herpesvirus 1,AngHV1,500138,FJ940765,Complete genome,dsDNA,vertebrates,NCBI Nucleotide
1000037,37,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Alloherpesviridae,,Cyvirus,,Cyvirus cyprinidallo1,E,carp pox herpesvirus; cyprinid herpesvirus 1,CyHV1,NG-J1,JQ815363,Complete genome,dsDNA,vertebrates,NCBI Nucleotide
1000038,38,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Alloherpesviridae,,Cyvirus,,Cyvirus cyprinidallo2,E,goldfish hematopoietic necrosis virus; cyprinid herpesvirus 2,CyHV2,ST-J1,JQ815364,Complete genome,dsDNA,vertebrates,NCBI Nucleotide
1000039,39,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Alloherpesviridae,,Cyvirus,,Cyvirus cyprinidallo3,E,koi herpesvirus; cyprinid herpesvirus 3,KHV; CyHV3,KHV-U,DQ657948,Complete genome,dsDNA,vertebrates,NCBI Nucleotide
1000040,40,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Alloherpesviridae,,Ictavirus,,Ictavirus acipenseridallo2,E,white sturgeon herpesvirus 2; acipenserid herpesvirus 2,AciHV2,SRWSHV,FJ815289,Partial genome,dsDNA,vertebrates,NCBI Nucleotide
1000041,41,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Alloherpesviridae,,Ictavirus,,Ictavirus ictaluridallo1,E,channel catfish virus; ictalurid herpesvirus 1,CCV; IcHV1,Auburn 1,M75136,Complete genome,dsDNA,vertebrates,NCBI Nucleotide
