SequenceID,Realm (-viria),Realm_score,Subrealm (-vira),Subrealm_score,Kingdom (-virae),Kingdom_score,Subkingdom (-virites),Subkingdom_score,Phylum (-viricota),Phylum_score,Subphylum (-viricotina),Subphylum_score,Class (-viricetes),Class_score,Subclass (-viricetidae),Subclass_score,Order (-virales),Order_score,Suborder (-virineae),Suborder_score,Family (-viridae),Family_score,Subfamily (-virinae),Subfamily_score,Genus (-virus),Genus_score,Subgenus (-virus),Subgenus_score,Species (binomial),Species_score
ICTVTaxoChallenge_617900,,,,,,,,,,,,,Caudoviricetes,0.2802,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_630593,,,,,,,,,,,,,Caudoviricetes,0.284,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_637849,,,,,,,,,,,,,Caudoviricetes,0.3102,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_419603,,,,,,,,,,,,,Caudoviricetes,0.3836,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_427556,,,,,,,,,,,,,Caudoviricetes,0.37,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_428236,,,,,,,,,,,,,Caudoviricetes,0.2615,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_431223,,,,,,,,,,,,,Caudoviricetes,0.3813,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_769597,,,,,,,,,,,,,Caudoviricetes,0.3537,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_779112,,,,,,,,,,,,,Caudoviricetes,0.3515,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_963624,,,,,,,,,,,,,Caudoviricetes,0.3725,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_9672,,,,,,,,,,,,,Caudoviricetes,0.3907,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_968989,,,,,,,,,,,,,Caudoviricetes,0.3445,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_970221,,,,,,,,,,,,,Caudoviricetes,0.3561,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_899757,,,,,,,,,,,,,Caudoviricetes,0.3441,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_902689,,,,,,,,,,,,,Caudoviricetes,0.3982,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_904993,,,,,,,,,,,,,Caudoviricetes,0.3601,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_910109,,,,,,,,,,,,,Caudoviricetes,0.3863,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_910975,,,,,,,,,,,,,Caudoviricetes,0.3993,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_918775,,,,,,,,,,,,,Caudoviricetes,0.431,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_231101,,,,,,,,,,,,,Caudoviricetes,0.3607,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_232301,,,,,,,,,,,,,Caudoviricetes,0.3378,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_736027,,,,,,,,,,,,,Caudoviricetes,0.2906,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_741875,,,,,,,,,,,,,Caudoviricetes,0.2612,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_74769,,,,,,,,,,,,,Caudoviricetes,0.4216,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_439341,,,,,,,,,,,,,Caudoviricetes,0.3595,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_442975,,,,,,,,,,,,,Caudoviricetes,0.3278,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_445979,,,,,,,,,,,,,Caudoviricetes,0.2972,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_74977,,,,,,,,,,,,,Caudoviricetes,0.3373,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_752651,,,,,,,,,,,,,Caudoviricetes,0.4164,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_754208,,,,,,,,,,,,,Caudoviricetes,0.4242,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_756088,,,,,,,,,,,,,Caudoviricetes,0.323,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_757367,,,,,,,,,,,,,Caudoviricetes,0.395,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_669739,,,,,,,,,,,,,Caudoviricetes,0.4046,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_67127,,,,,,,,,,,,,Caudoviricetes,0.3447,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_671597,,,,,,,,,,,,,Caudoviricetes,0.4291,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_674897,,,,,,,,,,,,,Caudoviricetes,0.3776,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_677124,,,,,,,,,,,,,Caudoviricetes,0.3361,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_6819,,,,,,,,,,,,,Caudoviricetes,0.4237,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_682389,,,,,,,,,,,,,Caudoviricetes,0.3801,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_278769,,,,,,,,,,,,,Caudoviricetes,0.2854,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_282856,,,,,,,,,,,,,Caudoviricetes,0.3407,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_302876,,,,,,,,,,,,,Caudoviricetes,0.3654,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_39472,,,,,,,,,,,,,Caudoviricetes,0.3783,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_402088,,,,,,,,,,,,,Caudoviricetes,0.3087,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_404091,,,,,,,,,,,,,Caudoviricetes,0.4026,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_408457,,,,,,,,,,,,,Caudoviricetes,0.3292,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_413041,,,,,,,,,,,,,Caudoviricetes,0.3505,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_691233,,,,,,,,,,,,,Caudoviricetes,0.3459,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_697809,,,,,,,,,,,,,Caudoviricetes,0.3626,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_819401,,,,,,,,,,,,,Caudoviricetes,0.3874,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_828376,,,,,,,,,,,,,Caudoviricetes,0.2911,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_828862,,,,,,,,,,,,,Caudoviricetes,0.2908,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_795576,,,,,,,,,,,,,Caudoviricetes,0.3088,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_795947,,,,,,,,,,,,,Caudoviricetes,0.3475,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_801191,,,,,,,,,,,,,Caudoviricetes,0.2972,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_813656,,,,,,,,,,,,,Caudoviricetes,0.2779,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_560047,,,,,,,,,,,,,Caudoviricetes,0.4327,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_563778,,,,,,,,,,,,,Caudoviricetes,0.3133,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_563984,,,,,,,,,,,,,Caudoviricetes,0.2763,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_565275,,,,,,,,,,,,,Caudoviricetes,0.3765,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_565585,,,,,,,,,,,,,Caudoviricetes,0.3592,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_176158,,,,,,,,,,,,,Caudoviricetes,0.3637,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_179287,,,,,,,,,,,,,Caudoviricetes,0.3628,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_187497,,,,,,,,,,,,,Caudoviricetes,0.3705,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_187529,,,,,,,,,,,,,Caudoviricetes,0.2977,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_192962,,,,,,,,,,,,,Caudoviricetes,0.4121,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_462112,,,,,,,,,,,,,Caudoviricetes,0.3072,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_466475,,,,,,,,,,,,,Caudoviricetes,0.2749,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_4685,,,,,,,,,,,,,Caudoviricetes,0.3977,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_469487,,,,,,,,,,,,,Caudoviricetes,0.4124,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_470261,,,,,,,,,,,,,Caudoviricetes,0.3542,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_479684,,,,,,,,,,,,,Caudoviricetes,0.2882,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_856757,,,,,,,,,,,,,Caudoviricetes,0.3912,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_864306,,,,,,,,,,,,,Caudoviricetes,0.378,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_866507,,,,,,,,,,,,,Caudoviricetes,0.4369,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_871228,,,,,,,,,,,,,Caudoviricetes,0.368,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_945980,,,,,,,,,,,,,Caudoviricetes,0.3621,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_94732,,,,,,,,,,,,,Caudoviricetes,0.3215,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_947464,,,,,,,,,,,,,Caudoviricetes,0.2753,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_948783,,,,,,,,,,,,,Caudoviricetes,0.3481,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_950133,,,,,,,,,,,,,Caudoviricetes,0.3854,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_951262,,,,,,,,,,,,,Caudoviricetes,0.4142,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_954625,,,,,,,,,,,,,Caudoviricetes,0.3228,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_708618,,,,,,,,,,,,,Caudoviricetes,0.347,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_71371,,,,,,,,,,,,,Caudoviricetes,0.3966,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_715038,,,,,,,,,,,,,Caudoviricetes,0.3294,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_71636,,,,,,,,,,,,,Caudoviricetes,0.3577,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_718510,,,,,,,,,,,,,Caudoviricetes,0.2968,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_723299,,,,,,,,,,,,,Caudoviricetes,0.3553,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_506970,,,,,,,,,,,,,Caudoviricetes,0.3448,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_508209,,,,,,,,,,,,,Caudoviricetes,0.3012,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_508814,,,,,,,,,,,,,Caudoviricetes,0.3014,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_51079,,,,,,,,,,,,,Caudoviricetes,0.3992,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_522924,,,,,,,,,,,,,Caudoviricetes,0.2812,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_479959,,,,,,,,,,,,,Caudoviricetes,0.3733,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_492371,,,,,,,,,,,,,Caudoviricetes,0.3146,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_500943,,,,,,,,,,,,,Caudoviricetes,0.3665,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_503688,,,,,,,,,,,,,Caudoviricetes,0.3098,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_58139,,,,,,,,,,,,,Caudoviricetes,0.2966,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_583642,,,,,,,,,,,,,Caudoviricetes,0.4104,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_586851,,,,,,,,,,,,,Caudoviricetes,0.3619,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_591766,,,,,,,,,,,,,Caudoviricetes,0.3824,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_306300,,,,,,,,,,,,,Caudoviricetes,0.2999,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_306736,,,,,,,,,,,,,Caudoviricetes,0.3982,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_312811,,,,,,,,,,,,,Caudoviricetes,0.3863,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_31297,,,,,,,,,,,,,Caudoviricetes,0.3397,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_320584,,,,,,,,,,,,,Caudoviricetes,0.339,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_321374,,,,,,,,,,,,,Caudoviricetes,0.3311,,,,,,,,,,,,,,,,
