SequenceID,Realm (-viria),Realm_score,Subrealm (-vira),Subrealm_score,Kingdom (-virae),Kingdom_score,Subkingdom (-virites),Subkingdom_score,Phylum (-viricota),Phylum_score,Subphylum (-viricotina),Subphylum_score,Class (-viricetes),Class_score,Subclass (-viricetidae),Subclass_score,Order (-virales),Order_score,Suborder (-virineae),Suborder_score,Family (-viridae),Family_score,Subfamily (-virinae),Subfamily_score,Genus,Genus_score,Subgenus (-virus),Subgenus_score,Species (binomial),Species_score
ICTVTaxoChallenge_100278,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cressdnaviricota,NA,NA,NA,Repensiviricetes,NA,NA,NA,Geplafuvirales,NA,NA,NA,Geminiviridae,NA,NA,NA,Mastrevirus,NA,NA,NA,Mastrevirus tabaci,0.6939
ICTVTaxoChallenge_100861,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cressdnaviricota,NA,NA,NA,Repensiviricetes,NA,NA,NA,Geplafuvirales,NA,NA,NA,Geminiviridae,NA,NA,NA,Begomovirus,NA,NA,NA,Begomovirus puerariae,1
ICTVTaxoChallenge_100945,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cressdnaviricota,NA,NA,NA,Repensiviricetes,NA,NA,NA,Geplafuvirales,NA,NA,NA,Geminiviridae,NA,NA,NA,Begomovirus,NA,NA,NA,Begomovirus passifloraseveri,0.9003
ICTVTaxoChallenge_101147,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cressdnaviricota,NA,NA,NA,Repensiviricetes,NA,NA,NA,Geplafuvirales,NA,NA,NA,Geminiviridae,NA,NA,NA,Mastrevirus,0.3451,NA,NA,NA,NA
ICTVTaxoChallenge_101962,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cressdnaviricota,NA,NA,NA,Arfiviricetes,NA,NA,NA,Cirlivirales,NA,NA,NA,Circoviridae,NA,NA,NA,Circovirus,0.5812,NA,NA,NA,NA
ICTVTaxoChallenge_102380,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cressdnaviricota,NA,NA,NA,Repensiviricetes,NA,NA,NA,Geplafuvirales,NA,NA,NA,Geminiviridae,NA,NA,NA,Mastrevirus,0.342,NA,NA,NA,NA
ICTVTaxoChallenge_102960,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cossaviricota,NA,NA,NA,Papovaviricetes,NA,NA,NA,Sepolyvirales,NA,NA,NA,Polyomaviridae,NA,NA,NA,Betapolyomavirus,NA,NA,NA,Betapolyomavirus ptedavyi,0.9998
ICTVTaxoChallenge_103051,Riboviria,NA,NA,NA,Orthornavirae,NA,NA,NA,Negarnaviricota,NA,Haploviricotina,,Monjiviricetes,NA,NA,NA,Mononegavirales,NA,NA,NA,Rhabdoviridae,NA,Alpharhabdovirinae,NA,Lyssavirus,NA,NA,NA,Lyssavirus irkut,0.9924
ICTVTaxoChallenge_103453,Riboviria,NA,NA,NA,Orthornavirae,NA,NA,NA,Pisuviricota,NA,NA,NA,Duplopiviricetes,NA,NA,NA,Durnavirales,NA,NA,NA,Amalgaviridae,NA,NA,NA,Amalgavirus,NA,NA,NA,Amalgavirus lycopersici,1
ICTVTaxoChallenge_10367,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cressdnaviricota,NA,NA,NA,Repensiviricetes,NA,NA,NA,Geplafuvirales,NA,NA,NA,Geminiviridae,NA,NA,NA,Begomovirus,NA,NA,NA,Begomovirus ocimummusivi,1
